"南漳县",360127.553174143,200200,211200,233200,253400,255700,281000,319300,397300,501800,620600,900800,1247000,1511100,1712300,1928600
"谷城县",327347.742134297,204000,216600,234300,261000,310100,337200,397200,481200,604200,854100,1129000,1634900,2047100,2387500,2655800
"保康县",250164.604961938,110500,120300,132700,139000,136500,146800,161500,188200,239400,296600,430200,560200,700800,815500,921500
"老河口市",530400,572000,473400,500500,535100,355500,382900,422000,498300,630300,849800,1109900,1655700,2081900,2401800,2684600
"枣阳市",816100,893200,716400,724300,784500,660400,720000,800300,974800,1228100,1539400,2101200,3018100,3709200,4254300,4795700
"宜城市",273800,264400,284500,313200,339300,342100,375900,422800,508900,644300,850000,1113300,1651000,2019400,2324600,2599000
"京山县",443308.496740169,404900,440000,477000,530300,507600,566100,641800,816900,1050900,1293000,1552500,2062300,2401200,2689900,2910300
"沙洋县",137469.682471503,340200,367200,391200,424000,415300,461200,523100,709900,882900,960200,1147900,1531200,1787400,1982100,2139600
"钟祥市",701600,695500,750200,776900,848400,715100,798300,924700,1130800,1409300,1630100,1989600,2555400,2974900,3323700,3618300
"孝昌县",829600.47863429,226500,232800,253900,278200,225100,248100,271800,336700,424100,491600,610400,730800,825500,926500,973100
"大悟县",239595.003654208,271000,291800,315700,340600,294800,328800,360600,442600,519300,576900,683800,796500,920200,1049900,1102500
"云梦县",497664.731426782,318600,318600,389400,427000,415900,469600,529600,613700,750900,868900,1099500,1302300,1519000,1731300,1851900
"应城市",554000,608200,680700,744300,828300,476900,542500,612200,704400,898000,931800,1163800,1515700,1748600,2023500,2206000
"安陆市",244600,265300,288000,312800,347500,351500,389200,442400,526300,639900,736200,925200,1080300,1253300,1447900,1572600
"汉川市",699600,734000,807000,871600,981800,767900,901000,1029800,1185500,1430500,1650400,1997900,2475700,3094300,3447100,3861500
"公安县",389877.374012932,398300,429900,472700,521100,462100,503600,562000,676400,835000,909200,1052900,1346200,1576200,1763700,1948900
"监利县",499670.635241847,396000,431500,469000,508600,520500,565800,625800,770000,954000,1085900,1258800,1566400,1753700,1948700,2147800
"江陵县",158815.742645017,107600,118100,128800,129500,166400,183500,204300,236500,270200,295100,343400,418300,486500,549600,622100
"石首市",538300,437600,480200,517600,523900,389000,446800,497300,564900,650700,681300,801300,958700,1089000,1219100,1362900
"洪湖市",490700,452500,491400,473700,512300,444800,490800,550900,669600,814300,901200,1029700,1228900,1441900,1634800,1824200
"松滋市",412600,417700,463700,500300,543500,409900,450500,492300,574500,691500,805500,960100,1267700,1533100,1792900,2008100
"团风县",239517.595022056,93100,91100,99400,108800,143700,156900,177200,211900,295800,339500,423300,495000,565400,643500,717600
"红安县",179028.867115313,322000,333400,355100,375000,268300,289300,317000,376700,488900,582700,653200,822600,959700,1076700,1207600
"罗田县",383218.901601817,224100,231400,249700,275500,198500,219500,245000,283300,399700,534700,631300,729300,850700,957500,1056600
"英山县",85107.5663840518,178900,146100,154600,172100,175900,185700,215000,271500,355600,397200,476100,520700,635700,712600,785500
"浠水县",386681.89668928,369000,401100,429600,458100,397200,437900,489500,593400,780600,895600,1076700,1246800,1450800,1652400,1831800
"蕲春县",314081.603209323,409300,442400,453300,467400,398800,433400,479700,579000,747700,847700,1009100,1291500,1431100,1623600,1804400
"黄梅县",710903.017559313,379300,429800,461200,492800,360900,406800,456000,541000,677200,775500,977000,1085000,1327200,1488300,1634300
"麻城市",498000,529200,557200,597400,641000,436800,475500,533100,643100,836300,993400,1195500,1566700,1763900,2034000,2262100
"武穴市",430600,438400,465200,504400,540200,426100,465000,532500,650100,877900,1001100,1218500,1595200,1803800,2028600,2245900
"嘉鱼县",304031.443628404,216100,237300,258700,290100,285500,323600,374200,480500,599200,660700,905800,1311600,1533800,1742700,1890300
"通城县",309770.97601956,141500,151300,161200,175700,200900,225600,268500,339700,439700,482200,615800,738000,851000,950900,1038400
"崇阳县",185513.555096706,155600,169500,178600,189500,237000,253800,288400,337400,420000,470000,578300,674400,772300,880800,969500
"通山县",286027.942855867,104700,110500,116300,123400,135400,148600,164000,269200,374100,376400,460900,562000,696900,812100,901000
"赤壁市",382400,420300,460000,500100,561100,516500,620500,709900,823900,1021600,1104300,1341100,1882100,2445000,2847600,3163900
"随县",372906.66910649,526622.924448959,686269.057757389,329624.67848168,33040,493406.481866208,58451.2637440034,896175.65348825,1197310.1088872,723900,770200,936600,1209400,1361400,1524500,1648200
"广水市",343800,360300,379400,415300,453000,549600,631400,716900,861500,1064200,1170000,1307600,1667600,1892200,2109800,2280100
"恩施市",255200,282700,299900,318800,345500,393600,430700,471000,528600,588000,726300,869400,1053400,1231000,1415000,1572800
"利川市",180200,195600,204400,205600,229600,305800,333700,377300,327600,389800,478600,544800,647700,733500,820100,909700
"建始县",423229.458015637,163000,153800,151700,158100,181000,196800,214300,241000,284900,330400,394200,478700,559200,641100,713000
"巴东县",562354.773913477,156800,173300,179900,194500,183400,198400,214700,273200,356800,407200,493400,575200,655100,740000,814500
"宣恩县",541917.801990196,101200,108900,114800,125400,131700,143500,155200,173800,215000,243100,291400,346400,402800,452800,502600
"咸丰县",311824.167324498,126200,127000,122200,144300,152300,161300,169000,189300,236300,287800,348200,419800,481800,544900,606600
"来凤县",634871.689823502,106000,99900,100300,114000,114800,123500,135400,157200,195300,250500,301800,352400,408900,470900,530100
"鹤峰县",24028,78200,85200,90700,100200,121300,131400,143100,161900,181700,215400,262600,304300,349700,395100,436200
"仙桃市",1035800,915500,1010400,1101300,1184000,1286500,1440700,1625100,1904000,2335000,2425500,2909700,3784500,4442000,5042800,5522700
"潜江市",770200,742400,797000,854400,944200,948500,1065600,1252800,1722100,2128200,2340100,2906700,3782100,4417600,4927000,5402200
"天门市",801400,874900,942000,995200,1100900,953800,1088200,1223000,1514800,1681500,1868600,2194800,2745200,3212200,3651900,4018600
"神农架林区",467354.30499439,28200,31500,35300,38900,45500,54100,61900,69600,79700,102900,123000,145300,168100,185700,202400
"中牟县",221520.928609626,397113,454322,506565,585339,710610,902217,1194195,1533683,1939652,2225828,2646387,3713810,4829216,5513732.27,7262708.96
"巩义市",860400,982400,1107800,1226300,1500200,1911900,2327100,2428700,2906800,3496600,3528000,4193100,4680300,5278000,5812200,6075700
"荥阳市",568583,637815,713717,805017,945737,1111442,1453087,1900608,2395273,3063028,3156762,3587562,4326548,4580493,5200436.39,5702519
"新密市",614339,690078,766849,855850,983890,1246604,1654243,2092218,2616699,3210270,3477502,3992392,5004789,5129160,5598318,6018650
"新郑市",680166,766029,845243,904735,1035118,1244758,1528647,2021270,2510647,3165616,3276264,3902546,4810195,5313974,6064741.96,6973244.9
"登封市",437427,472131,512803,562813,671735,853475,1113122,1521360,1908645,2401598,2585811,3130280,4327632,4311803,4509038.95,4833880
"杞县",617489.042791989,381510,435118,451599,459662,593436,744226,877397,942186,1110691,1269986,1560707,1779505,2021907,2284720.67,2467581
"通许县",255620.296989753,277154,304157,323291,317814,407831,520223,582982,668104,857224,985422,1189619,1405461,1602226,1779448.85,2001481
"尉氏县",616809.555805221,364267,416746,455966,488696,618887,822313,997844,1210020,1458598,1612225,1844406,2166416,2408685,2719843.56,2909314
"开封县",343039.459359862,322194,355231,383837,375033,466824,530455,611295,713722,925600,1038777,1245035,1400114,1615571,1872056.75,2001970
"兰考县",24028,305000,332500,356400,371500,435800,500200,580300,710900,899500,1002400,1248400,1487700,1689800,1928500,2139500
"孟津县",237668.91099448,181827,191811,201082,237050,328977,447597,561147,731794,868497,932045,1059947,1397254,1754308,2025838,2212200
"新安县",24028,348496,383441,446878,617367,912864,1180225,1404050,1688485,2013818,2204567,2582550,3048922,3294043,3439188,3488774
"栾川县",372038.780073585,117738,119315,149220,182478,279492,532405,690127,1077744,1341353,1176174,1423338,1687777,1590480,1440441.65,1408071
"嵩县",740976.627635822,116656,131510,174341,215663,277736,418176,509671,629216,825200,976598,1084900,1275564,1340645,1467493,1338446
"汝阳县",24028,113889,127549,156184,184709,232857,310073,376146,485175,620039,584830,704775,928593,1071666,1155195,1247814
"宜阳县",544120.806239381,152031,160552,181868,232452,309922,454870,573380,765810,959054,1075050,1279162,1542524,1752567,1946139,2077595
"洛宁县",33350.640979265,129166,134557,158688,187189,246996,335184,410634,521873,666057,787205,931206,1169451,1325036,1387703,1438018
"伊川县",725392.783711298,271815,304353,391914,574394,817818,1233524,1452928,1830086,2046277,2048778,2287718,2729136,2768436,2751328,2810272
"偃师市",754566,805107,884894,1009430,1239326,1625772,1875395,2246497,2677355,3224459,3350779,3721207,3822539,4321509,3569317,3806238
"宝丰县",630169.321328253,307608,318956,351011,400753,513501,615695,760583,922943,1192818,1275910,1559161,2021809,2232963,2329908.57,2484167
"叶县",153562.094737435,274817,301948,326404,370241,447937,558480,678872,831479,1082640,1171487,1336714,1528982,1682730,1870677.09,1985959
"鲁山县",277397.741560838,191387,203770,215484,234877,288086,355298,448271,531787,646348,672369,757270,910462,1101106,1174529.7,1304504
"郏县",318862.279148205,216620,235619,253006,285923,359667,444569,520075,619284,771098,840735,980200,1155468,1206949,1339405.49,1423435
"舞钢市",130976,145674,191174,213801,278336,400627,505490,644060,863890,1138850,986079,1092849,1130657,1027791,1019214.4,1074796
"汝州市",563900,602500,647900,694500,765400,985300,1142400,1349900,1635200,2101800,2272800,2585700,2839800,3204300,3316600,3478000
"安阳县",252305.046729913,373169,406864,451288,477286,667155,979735,1227252,1521014,2121462,2395008,2858389,3295385,3459509,3460856.38,3439429
"汤阴县",887919.0999559,194815,214441,231009,260204,323372,432860,511269,770052,899923,920902,1102366,1198427,1283678,1358052.24,1503814
"滑县",361513.191733117,312800,339200,368400,397000,506300,659400,765000,943300,1170700,1232100,1367100,1525600,1638300,1830300,1987000
"内黄县",180573.779095999,250973,275980,298611,318773,384277,473300,553748,683511,846719,870373,1006349,1150638,1290750,1449469.55,1634585
"林州市",389940,425892,465401,506665,587093,807938,1113220,1360099,1726399,2307463,2718820,3164804,3684403,4037843,4241274.73,4464927
"浚县",470601.637372909,227209,246646,265761,315216,401274,467370,547342,659753,752385,826802,963146,1174772,1212153,1412973,1615334
"淇县",376939.074064296,207056,224454,246420,288416,394910,487633,607436,724851,929813,998985,1106338,1295084,1461963,1705915,1969060
"新乡县",318631.951741235,360831,384535,419599,459366,419810,546838,697118,946944,1227263,1334569,1580945,1976120,1810424,1969806,2008451
"获嘉县",313786.145250934,189457,211481,219469,235745,307544,357091,356796,396244,473338,474717,530486,672178,764015,801948,913950
