指标,地区,频度,单位,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
国内生产总值,大悟县,年,亿元,,27.1,29.18,31.57,34.06,29.48,32.88,36.06,44.26,51.93,57.69,68.38,79.65,92.02,104.99,110.25
国内生产总值,云梦县,年,亿元,,31.86,31.86,38.94,42.7,41.59,46.96,52.96,61.37,75.09,86.89,109.95,130.23,151.9,173.13,185.19
国内生产总值,应城市,年,亿元,55.4,60.82,68.07,74.43,82.83,47.69,54.25,61.22,70.44,89.8,93.18,116.38,151.57,174.86,202.35,220.6
国内生产总值,安陆市,年,亿元,24.46,26.53,28.8,31.28,34.75,35.15,38.92,44.24,52.63,63.99,73.62,92.52,108.03,125.33,144.79,157.26
国内生产总值,汉川市,年,亿元,69.96,73.4,80.7,87.16,98.18,76.79,90.1,102.98,118.55,143.05,165.04,199.79,247.57,309.43,344.71,386.15
国内生产总值,公安县,年,亿元,,39.83,42.99,47.27,52.11,46.21,50.36,56.2,67.64,83.5,90.92,105.29,134.62,157.62,176.37,194.89
国内生产总值,监利县,年,亿元,,39.6,43.15,46.9,50.86,52.05,56.58,62.58,77,95.4,108.59,125.88,156.64,175.37,194.87,214.78
国内生产总值,江陵县,年,亿元,,10.76,11.81,12.88,12.95,16.64,18.35,20.43,23.65,27.02,29.51,34.34,41.83,48.65,54.96,62.21
国内生产总值,石首市,年,亿元,53.83,43.76,48.02,51.76,52.39,38.9,44.68,49.73,56.49,65.07,68.13,80.13,95.87,108.9,121.91,136.29
国内生产总值,洪湖市,年,亿元,49.07,45.25,49.14,47.37,51.23,44.48,49.08,55.09,66.96,81.43,90.12,102.97,122.89,144.19,163.48,182.42
国内生产总值,松滋市,年,亿元,41.26,41.77,46.37,50.03,54.35,40.99,45.05,49.23,57.45,69.15,80.55,96.01,126.77,153.31,179.29,200.81
国内生产总值,团风县,年,亿元,,9.31,9.11,9.94,10.88,14.37,15.69,17.72,21.19,29.58,33.95,42.33,49.5,56.54,64.35,71.76
国内生产总值,红安县,年,亿元,,32.2,33.34,35.51,37.5,26.83,28.93,31.7,37.67,48.89,58.27,65.32,82.26,95.97,107.67,120.76
国内生产总值,罗田县,年,亿元,,22.41,23.14,24.97,27.55,19.85,21.95,24.5,28.33,39.97,53.47,63.13,72.93,85.07,95.75,105.66
国内生产总值,英山县,年,亿元,,17.89,14.61,15.46,17.21,17.59,18.57,21.5,27.15,35.56,39.72,47.61,52.07,63.57,71.26,78.55
国内生产总值,浠水县,年,亿元,,36.9,40.11,42.96,45.81,39.72,43.79,48.95,59.34,78.06,89.56,107.67,124.68,145.08,165.24,183.18
国内生产总值,蕲春县,年,亿元,,40.93,44.24,45.33,46.74,39.88,43.34,47.97,57.9,74.77,84.77,100.91,129.15,143.11,162.36,180.44
国内生产总值,黄梅县,年,亿元,,37.93,42.98,46.12,49.28,36.09,40.68,45.6,54.1,67.72,77.55,97.7,108.5,132.72,148.83,163.43
国内生产总值,麻城市,年,亿元,49.8,52.92,55.72,59.74,64.1,43.68,47.55,53.31,64.31,83.63,99.34,119.55,156.67,176.39,203.4,226.21
国内生产总值,武穴市,年,亿元,43.06,43.84,46.52,50.44,54.02,42.61,46.5,53.25,65.01,87.79,100.11,121.85,159.52,180.38,202.86,224.59
国内生产总值,嘉鱼县,年,亿元,,21.61,23.73,25.87,29.01,28.55,32.36,37.42,48.05,59.92,66.07,90.58,131.16,153.38,174.27,189.03
国内生产总值,通城县,年,亿元,,14.15,15.13,16.12,17.57,20.09,22.56,26.85,33.97,43.97,48.22,61.58,73.8,85.1,95.09,103.84
国内生产总值,崇阳县,年,亿元,,15.56,16.95,17.86,18.95,23.7,25.38,28.84,33.74,42,47,57.83,67.44,77.23,88.08,96.95
国内生产总值,通山县,年,亿元,,10.47,11.05,11.63,12.34,13.54,14.86,16.4,26.92,37.41,37.64,46.09,56.2,69.69,81.21,90.1
国内生产总值,赤壁市,年,亿元,38.24,42.03,46,50.01,56.11,51.65,62.05,70.99,82.39,102.16,110.43,134.11,188.21,244.5,284.76,316.39
国内生产总值,随县,年,亿元,,,,,,,,,,72.39,77.02,93.66,120.94,136.14,152.45,164.82
国内生产总值,广水市,年,亿元,34.38,36.03,37.94,41.53,45.3,54.96,63.14,71.69,86.15,106.42,117,130.76,166.76,189.22,210.98,228.01
国内生产总值,恩施市,年,亿元,25.52,28.27,29.99,31.88,34.55,39.36,43.07,47.1,52.86,58.8,72.63,86.94,105.34,123.1,141.5,157.28
国内生产总值,利川市,年,亿元,18.02,19.56,20.44,20.56,22.96,30.58,33.37,37.73,32.76,38.98,47.86,54.48,64.77,73.35,82.01,90.97
国内生产总值,建始县,年,亿元,,16.3,15.38,15.17,15.81,18.1,19.68,21.43,24.1,28.49,33.04,39.42,47.87,55.92,64.11,71.3
国内生产总值,巴东县,年,亿元,,15.68,17.33,17.99,19.45,18.34,19.84,21.47,27.32,35.68,40.72,49.34,57.52,65.51,74,81.45
国内生产总值,宣恩县,年,亿元,,10.12,10.89,11.48,12.54,13.17,14.35,15.52,17.38,21.5,24.31,29.14,34.64,40.28,45.28,50.26
国内生产总值,咸丰县,年,亿元,,12.62,12.7,12.22,14.43,15.23,16.13,16.9,18.93,23.63,28.78,34.82,41.98,48.18,54.49,60.66
国内生产总值,来凤县,年,亿元,,10.6,9.99,10.03,11.4,11.48,12.35,13.54,15.72,19.53,25.05,30.18,35.24,40.89,47.09,53.01
国内生产总值,鹤峰县,年,亿元,,7.82,8.52,9.07,10.02,12.13,13.14,14.31,16.19,18.17,21.54,26.26,30.43,34.97,39.51,43.62
国内生产总值,仙桃市,年,亿元,103.58,91.55,101.04,110.13,118.4,128.65,144.07,162.51,190.4,233.5,242.55,290.97,378.45,444.2,504.28,552.27
国内生产总值,潜江市,年,亿元,77.02,74.24,79.7,85.44,94.42,94.85,106.56,125.28,172.21,212.82,234.01,290.67,378.21,441.76,492.7,540.22
国内生产总值,天门市,年,亿元,80.14,87.49,94.2,99.52,110.09,95.38,108.82,122.3,151.48,168.15,186.86,219.48,274.52,321.22,365.19,401.86
国内生产总值,神农架林区,年,亿元,,2.82,3.15,3.53,3.89,4.55,5.41,6.19,6.96,7.97,10.29,12.3,14.53,16.81,18.57,20.24
国内生产总值,中牟县,年,万元,,397113,454322,506565,585339,710610,902217,1194195,1533683,1939652,2225828,2646387,3713810,4829216,5513732.27,7262708.96
国内生产总值,巩义市,年,亿元,86.04,98.24,110.78,122.63,150.02,191.19,232.71,242.87,290.68,349.66,352.8,419.31,468.03,527.8,581.22,607.57
国内生产总值,荥阳市,年,万元,568583,637815,713717,805017,945737,1111442,1453087,1900608,2395273,3063028,3156762,3587562,4326548,4580493,5200436.39,5702519
国内生产总值,新密市,年,万元,614339,690078,766849,855850,983890,1246604,1654243,2092218,2616699,3210270,3477502,3992392,5004789,5129160,5598318,6018650
国内生产总值,新郑市,年,万元,680166,766029,845243,904735,1035118,1244758,1528647,2021270,2510647,3165616,3276264,3902546,4810195,5313974,6064741.96,6973244.9
国内生产总值,登封市,年,万元,437427,472131,512803,562813,671735,853475,1113122,1521360,1908645,2401598,2585811,3130280,4327632,4311803,4509038.95,4833880
国内生产总值,杞县,年,万元,,381510,435118,451599,459662,593436,744226,877397,942186,1110691,1269986,1560707,1779505,2021907,2284720.67,2467581
国内生产总值,通许县,年,万元,,277154,304157,323291,317814,407831,520223,582982,668104,857224,985422,1189619,1405461,1602226,1779448.85,2001481
国内生产总值,尉氏县,年,万元,,364267,416746,455966,488696,618887,822313,997844,1210020,1458598,1612225,1844406,2166416,2408685,2719843.56,2909314
国内生产总值,开封县,年,万元,,322194,355231,383837,375033,466824,530455,611295,713722,925600,1038777,1245035,1400114,1615571,1872056.75,2001970
国内生产总值,兰考县,年,亿元,,30.5,33.25,35.64,37.15,43.58,50.02,58.03,71.09,89.95,100.24,124.84,148.77,168.98,192.85,213.95
国内生产总值,孟津县,年,万元,,181827,191811,201082,237050,328977,447597,561147,731794,868497,932045,1059947,1397254,1754308,2025838,2212200
国内生产总值,新安县,年,万元,,348496,383441,446878,617367,912864,1180225,1404050,1688485,2013818,2204567,2582550,3048922,3294043,3439188,3488774
国内生产总值,栾川县,年,万元,,117738,119315,149220,182478,279492,532405,690127,1077744,1341353,1176174,1423338,1687777,1590480,1440441.65,1408071
国内生产总值,嵩县,年,万元,,116656,131510,174341,215663,277736,418176,509671,629216,825200,976598,1084900,1275564,1340645,1467493,1338446
国内生产总值,汝阳县,年,万元,,113889,127549,156184,184709,232857,310073,376146,485175,620039,584830,704775,928593,1071666,1155195,1247814
国内生产总值,宜阳县,年,万元,,152031,160552,181868,232452,309922,454870,573380,765810,959054,1075050,1279162,1542524,1752567,1946139,2077595
国内生产总值,洛宁县,年,万元,,129166,134557,158688,187189,246996,335184,410634,521873,666057,787205,931206,1169451,1325036,1387703,1438018
国内生产总值,伊川县,年,万元,,271815,304353,391914,574394,817818,1233524,1452928,1830086,2046277,2048778,2287718,2729136,2768436,2751328,2810272
国内生产总值,偃师市,年,万元,754566,805107,884894,1009430,1239326,1625772,1875395,2246497,2677355,3224459,3350779,3721207,3822539,4321509,3569317,3806238
国内生产总值,宝丰县,年,万元,,307608,318956,351011,400753,513501,615695,760583,922943,1192818,1275910,1559161,2021809,2232963,2329908.57,2484167
国内生产总值,叶县,年,万元,,274817,301948,326404,370241,447937,558480,678872,831479,1082640,1171487,1336714,1528982,1682730,1870677.09,1985959
国内生产总值,鲁山县,年,万元,,191387,203770,215484,234877,288086,355298,448271,531787,646348,672369,757270,910462,1101106,1174529.7,1304504
国内生产总值,郏县,年,万元,,216620,235619,253006,285923,359667,444569,520075,619284,771098,840735,980200,1155468,1206949,1339405.49,1423435
国内生产总值,舞钢市,年,万元,130976,145674,191174,213801,278336,400627,505490,644060,863890,1138850,986079,1092849,1130657,1027791,1019214.4,1074796
国内生产总值,汝州市,年,亿元,56.39,60.25,64.79,69.45,76.54,98.53,114.24,134.99,163.52,210.18,227.28,258.57,283.98,320.43,331.66,347.8
国内生产总值,安阳县,年,万元,,373169,406864,451288,477286,667155,979735,1227252,1521014,2121462,2395008,2858389,3295385,3459509,3460856.38,3439429
国内生产总值,汤阴县,年,万元,,194815,214441,231009,260204,323372,432860,511269,770052,899923,920902,1102366,1198427,1283678,1358052.24,1503814
国内生产总值,滑县,年,亿元,,31.28,33.92,36.84,39.7,50.63,65.94,76.5,94.33,117.07,123.21,136.71,152.56,163.83,183.03,198.7
国内生产总值,内黄县,年,万元,,250973,275980,298611,318773,384277,473300,553748,683511,846719,870373,1006349,1150638,1290750,1449469.55,1634585
国内生产总值,林州市,年,万元,389940,425892,465401,506665,587093,807938,1113220,1360099,1726399,2307463,2718820,3164804,3684403,4037843,4241274.73,4464927
